ProductKey,Unit price,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,DaysToManufacture,ProductLine,Class,ModelName,EnglishDescription,StartDate,Status
1,0,AR-5381,0,,,Adjustable Race,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
2,0,BA-8327,0,,,Bearing Ball,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
3,0,BE-2349,0,,,BB Ball Bearing,0,NA,800,600,0,,1,,,,,01-07-2003,Current
4,0,BE-2908,0,,,Headset Ball Bearings,0,NA,800,600,0,,0,,,,,01-07-2003,Current
5,0,BL-2036,0,,,Blade,0,NA,800,600,0,,1,,,,,01-07-2003,Current
6,0,CA-5965,0,,,LL Crankarm,0,Black,500,375,0,,0,,L ,,,01-07-2003,Current
7,0,CA-6738,0,,,ML Crankarm,0,Black,500,375,0,,0,,M ,,,01-07-2003,Current
8,0,CA-7457,0,,,HL Crankarm,0,Black,500,375,0,,0,,,,,01-07-2003,Current
9,0,CB-2903,0,,,Chainring Bolts,0,Silver,1000,750,0,,0,,,,,01-07-2003,Current
10,0,CN-6137,0,,,Chainring Nut,0,Silver,1000,750,0,,0,,,,,01-07-2003,Current
11,0,CR-7833,0,,,Chainring,0,Black,1000,750,0,,0,,,,,01-07-2003,Current
12,0,CR-9981,0,,,Crown Race,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
13,0,CS-2812,0,,,Chain Stays,0,NA,1000,750,0,,1,,,,,01-07-2003,Current
14,0,DC-8732,0,,,Decal 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
15,0,DC-9824,0,,,Decal 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
16,0,DT-2377,0,,,Down Tube,0,NA,800,600,0,,1,,,,,01-07-2003,Current
17,0,EC-M092,0,,,Mountain End Caps,0,NA,1000,750,0,,1,,,,,01-07-2003,Current
18,0,EC-R098,0,,,Road End Caps,0,NA,1000,750,0,,1,,,,,01-07-2003,Current
19,0,EC-T209,0,,,Touring End Caps,0,NA,1000,750,0,,1,,,,,01-07-2003,Current
20,0,FE-3760,0,,,Fork End,0,NA,800,600,0,,1,,,,,01-07-2003,Current
21,0,FH-2981,0,,,Freewheel,0,Silver,500,375,0,,0,,,,,01-07-2003,Current
22,0,FW-1000,0,,,Flat Washer 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
23,0,FW-1200,0,,,Flat Washer 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
24,0,FW-1400,0,,,Flat Washer 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
25,0,FW-3400,0,,,Flat Washer 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
26,0,FW-3800,0,,,Flat Washer 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
27,0,FW-5160,0,,,Flat Washer 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
28,0,FW-5800,0,,,Flat Washer 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
29,0,FW-7160,0,,,Flat Washer 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
30,0,FW-9160,0,,,Flat Washer 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
31,0,FC-3654,0,,,Fork Crown,0,NA,800,600,0,,1,,,,,01-07-2003,Current
32,0,FC-3982,0,,,Front Derailleur Cage,0,Silver,800,600,0,,0,,,,,01-07-2003,Current
33,0,FL-2301,0,,,Front Derailleur Linkage,0,Silver,800,600,0,,0,,,,,01-07-2003,Current
34,0,GP-0982,0,,,Guide Pulley,0,NA,800,600,0,,0,,,,,01-07-2003,Current
35,0,GT-0820,0,,,LL Grip Tape,0,NA,800,600,0,,0,,L ,,,01-07-2003,Current
36,0,GT-1209,0,,,ML Grip Tape,0,NA,800,600,0,,0,,M ,,,01-07-2003,Current
